brand_name,carname,carImg,saleVolume, price,manufacturer,rank,carModel, energyType,marketTime,insure
理想汽车,理想L8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/df46af6b3ad1439f83d4448cfb729918~tplv-resize:640:0.png,15013,"[33.98, 39.98]",理想汽车,36,中大型SUV,增程式,2023.02,5年或10万公里
理想汽车,理想L9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4f056cfb109c43308e929851d8764605~tplv-resize:640:0.png,14913,"[42.98, 45.98]",理想汽车,37,大型SUV,增程式,2023.08,5年或10万公里
红旗,红旗H5,https://p3-dcd.byteimg.com/img/motor-mis-img/4e5a38bacf99a7c63567e63f3bde1216~tplv-resize:640:0.png,14674,"[14.98, 21.57]",一汽红旗,38,中型车,汽油,2023.08,4年或10万公里
奥迪,奥迪A4L,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/db765ed4695e4d1e808f3344a2637ff8~tplv-resize:640:0.png,14432,"[24.07, 32.86]",一汽-大众奥迪,39,中型车,汽油,2023.10,3年或10万公里
大众,探岳,https://p3-dcd.byteimg.com/img/motor-mis-img/fa07dcebd6da68142bf78b8afc536956~tplv-resize:640:0.png,14421,"[15.49, 21.49]",一汽-大众,40,中型SUV,汽油,2023.10,3年或10万公里
比亚迪,宋PLUS EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/fa73e1ea76ca4aa9aa291fd9d73dbf98~tplv-resize:640:0.png,13845,"[15.68, 20.48]",比亚迪,41,紧凑型SUV,纯电动,2023.06,6年或15万公里
吉利汽车,星瑞,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/4fc66389c5644e648c5093b476ccd036~tplv-resize:640:0.png,13796,"[10.67, 13.57]",吉利汽车,42,紧凑型车,汽油,2023.06,4年或10万公里
丰田,卡罗拉,https://p3-dcd.byteimg.com/img/motor-mis-img/b2fb8f96191b30a2992fc05fb5af0a4c~tplv-resize:640:0.png,13779,"[8.88, 12.78]",一汽丰田,43,紧凑型车,汽油,2023.05,3年或10万公里
大众,途岳,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7af39d3a968446848f32b453d0211164~tplv-resize:640:0.png,13640,"[11.99, 17.16]",上汽大众,44,紧凑型SUV,汽油,2023.03,3年或10万公里
日产,天籁,https://p3-dcd.byteimg.com/img/motor-mis-img/8e074b2ea146302687d68d1e51adfb3c~tplv-resize:640:0.png,13269,"[14.38, 20.48]",东风日产,45,中型车,汽油,2022.09,3年或10万公里
丰田,威兰达,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/39f96820a5e244b8a11ce5fae05c2006~tplv-resize:640:0.png,13228,"[13.58, 22.68]",广汽丰田,46,紧凑型SUV,汽油,2023.03,3年或10万公里
大众,大众ID.3,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/c55ec29bd2f545239f812024e3ceb691~tplv-resize:640:0.png,13201,"[12.59, 14.99]",上汽大众,47,紧凑型车,纯电动,2024.01,3年或10万公里
比亚迪,秦PLUS EV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/a0cc62d5e0e7440dbd10b61b898f34d8~tplv-resize:640:0.png,13186,"[11.98, 16.98]",比亚迪,48,紧凑型车,纯电动,2023.04,6年或15万公里
奇瑞,艾瑞泽8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d8d9de3901d34378b2fd87287e07b7fa~tplv-resize:640:0.png,13121,"[9.89, 13.79]",奇瑞汽车,49,紧凑型车,汽油,2023.07,3年或10万公里
宝马,宝马5系,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b65c2332369b4b988c95230b068e0a5f~tplv-resize:640:0.png,13083,"[37.1, 48.31]",华晨宝马,50,中大型车,汽油,2023.11,3年或10万公里
大众,宝来,https://p3-dcd.byteimg.com/img/motor-mis-img/dbd8f3ffb172ce6ef271849013b14763~tplv-resize:640:0.png,13010,"[7.6, 12.2]",一汽-大众,51,紧凑型车,汽油,2022.11,3年或10万公里
北京汽车,北京EU5,https://p3-dcd.byteimg.com/img/motor-mis-img/fac9641308c9c3c9b23765bdcbdd6697~tplv-resize:640:0.png,12811,"[9.98, 17.19]",北京汽车,52,紧凑型车,纯电动,2022.09,3年或12万公里
现代,伊兰特,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9df2036fdb244307bed69e9e03cf2368~tplv-resize:640:0.png,12796,"[7.18, 12.38]",北京现代,53,紧凑型车,汽油,2023.08,3年或10万公里
吉利汽车,熊猫,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/faf3420cf3fd4f949f777c2ad1d1d0cc~tplv-resize:640:0.png,12538,"[2.99, 5.19]",吉利汽车,54,微型车,纯电动,2023.09,3年或12万公里
长安,长安Lumin,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ce6c0eedd9c6421c94ef984285239d44~tplv-resize:640:0.png,12480,"[3.99, 6.19]",长安汽车,55,微型车,纯电动,2023.08,3年或12万公里
奔驰,奔驰GLC,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/ced6f5cfd808493d8380351b584516c2~tplv-resize:640:0.png,12300,"[33.28, 46.42]",北京奔驰,56,中型SUV,48V轻混系统,2023.04,3年不限公里
捷途,捷途旅行者,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e12d84abb842430798a950248f172910~tplv-resize:640:0.png,11672,"[13.49, 18.49]",奇瑞汽车,57,紧凑型SUV,汽油,2023.09,4年或10万公里
本田,思域,https://p3-dcd.byteimg.com/img/motor-mis-img/af835d978de92b8342d900c8473c8d88~tplv-resize:640:0.png,11659,"[10.39, 16.29]",东风本田,58,紧凑型车,汽油,2022.12,3年或10万公里
比亚迪,汉DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a965de726e8a43909ebfe83ae9325804~tplv-resize:640:0.png,11522,"[17.98, 31.18]",比亚迪,59,中大型车,插电式混合动力,2023.05,6年或15万公里
丰田,亚洲龙,https://p3-dcd.byteimg.com/img/motor-mis-img/5130f932ae52503625175eb6e79aaa5a~tplv-resize:640:0.png,11478,"[16.18, 24.18]",一汽丰田,60,中型车,汽油,2023.05,4年或10万公里
宝马,宝马3系,https://p3-dcd.byteimg.com/img/motor-mis-img/b4f69ed40e9e2f4f40a8874ce323e181~tplv-resize:640:0.png,11396,"[23.1, 33.88]",华晨宝马,61,中型车,汽油,2022.08,3年或10万公里
比亚迪,唐DM,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/27126880f70d400e9a69ca835db3a11b~tplv-resize:640:0.png,11381,"[19.48, 29.98]",比亚迪,62,中型SUV,插电式混合动力,2023.03,6年或15万公里
长安,长安UNI-V,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7204df6719904f8c857ddf241d537df2~tplv-resize:640:0.png,11252,"[9.89, 12.99]",长安汽车,63,紧凑型车,汽油,2023.04,3年或10万公里
长安,逸动,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b754d7190a2740f0a0de783eaf5e439f~tplv-resize:640:0.png,10806,"[5.09, 8.19]",长安汽车,64,紧凑型车,汽油,2023.04,3年或10万公里
吉利汽车,帝豪,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/02331e293a0745c18554272bcedffff3~tplv-resize:640:0.png,10698,"[5.89, 11.78]",吉利汽车,65,紧凑型车,汽油,2023.06,4年或15万公里
红旗,红旗E-QM5,https://p9-dcd.byteimg.com/img/motor-mis-img/3174065ca959cf593465c373c7722041~tplv-resize:640:0.png,10600,"[16.57, 22.98]",一汽红旗,66,中型车,纯电动,2023.05,4年或10万公里
五菱汽车,五菱宏光,https://p3-dcd.byteimg.com/img/motor-mis-img/5e5eb3f0b2e232525d8d7f1d44fa55fb~tplv-resize:640:0.png,10563,"[4.65, 5.58]",上汽通用五菱,67,微面,汽油,2022.07,3年或10万公里
红旗,红旗HS5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c20137f882ec47cda4c0e54e82aa1f48~tplv-resize:640:0.png,10414,"[17.98, 22.98]",一汽红旗,68,中型SUV,汽油,2023.05,4年或10万公里
宝马,宝马X3,https://p3-dcd.byteimg.com/img/motor-mis-img/77da976a9938b0ec5fc46615b7715e74~tplv-resize:640:0.png,10407,"[28.5, 37]",华晨宝马,69,中型SUV,汽油,2023.02,3年或10万公里
比亚迪,海豹DM-i,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/74e489c57f1945faa0ac4ede26c433d1~tplv-resize:640:0.png,10402,"[16.18, 23.18]",比亚迪,70,中型车,插电式混合动力,2023.09,6年或15万公里
吉利汽车,星越L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e089916842c943ab8277e180dfb3240b~tplv-resize:640:0.png,10075,"[12.72, 17.52]",吉利汽车,71,紧凑型SUV,汽油,2024.01,4年或10万公里
领克,领克08 EM-P,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/17614683c5d74474b25696e6ba9f1619~tplv-resize:640:0.png,10055,"[20.28, 28.2]",领克,72,中型SUV,插电式混合动力,2023.09,5年或10万公里
智己汽车,智己LS6,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/1d808aff9bfd4dfa9ab5f7296c7c4544~tplv-resize:640:0.png,9878,"[21.79, 27.99]",智己汽车,73,中大型SUV,纯电动,2023.10,5年或15万公里
腾势,腾势D9 DM-i,https://p3-dcd.byteimg.com/img/motor-mis-img/33c228a4d0101c510250f1095b554e5e~tplv-resize:640:0.png,9863,"[34.98, 44.58]",腾势汽车,74,中大型MPV,插电式混合动力,2023.08,6年或15万公里
林肯,航海家,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/db4c45d357eb479ca8ba4ed41f93fc5e~tplv-resize:640:0.png,9757,"[31.48, 45.38]",长安林肯,75,中型SUV,汽油,2023.04,5年或14万公里
捷途,捷途X70,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9f9edd2f1b8f4ff68538900708783c01~tplv-resize:640:0.png,9750,"[8.19, 16.49]",奇瑞汽车,76,中型SUV,汽油,2023.11,4年或10万公里
哈弗,哈弗大狗,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/99d2cc4666d54e5487bbda4ac6efe2f2~tplv-resize:640:0.png,9601,"[10.79, 15.59]",长城汽车,77,紧凑型SUV,汽油,2023.07,3年或10万公里
宝马,宝马X1,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c9c9c02010874036a2f03c203ca1238a~tplv-resize:640:0.png,9589,"[19.35, 24.49]",华晨宝马,78,紧凑型SUV,汽油,2023.04,3年或10万公里
零跑汽车,零跑C11,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5f33df9609c142048ca10d8f868db3b5~tplv-resize:640:0.png,9121,"[14.18, 20.48]",零跑汽车,79,中型SUV,增程式,2023.09,4年或12万公里
